date,Liverpool Football Club,Liverpool,isPartial
2015-11-08 17:20:00,0,70,False
2015-11-08 17:28:00,0,75,False
2015-11-08 17:36:00,0,75,False
2015-11-08 17:44:00,0,70,False
2015-11-08 17:52:00,0,79,False
2015-11-08 18:00:00,0,60,False
2015-11-08 18:08:00,0,51,False
2015-11-08 18:16:00,0,45,False
2015-11-08 18:24:00,0,42,False
2015-11-08 18:32:00,0,38,False
2015-11-08 18:40:00,0,36,False
2015-11-08 18:48:00,0,33,False
2015-11-08 18:56:00,0,33,False
2015-11-08 19:04:00,0,32,False
2015-11-08 19:12:00,0,33,False
2015-11-08 19:20:00,0,31,False
2015-11-08 19:28:00,0,30,False
2015-11-08 19:36:00,0,29,False
2015-11-08 19:44:00,0,30,False
2015-11-08 19:52:00,0,29,False
2015-11-08 20:00:00,0,30,False
2015-11-21 15:04:00,0,20,False
2015-11-21 15:12:00,0,20,False
2015-11-21 15:20:00,0,20,False
2015-11-21 15:28:00,0,20,False
2015-11-21 15:36:00,0,21,False
2015-11-21 15:44:00,0,22,False
2015-11-21 15:52:00,0,22,False
2015-11-21 16:00:00,0,23,False
2015-11-21 16:08:00,0,23,False
2015-11-21 16:16:00,0,24,False
2015-11-21 16:24:00,0,26,False
2015-11-21 16:32:00,0,28,False
2015-11-21 16:40:00,0,29,False
2015-11-21 16:48:00,0,30,False
2015-11-21 16:56:00,0,36,False
2015-11-21 17:04:00,0,34,False
2015-11-21 17:12:00,0,36,False
2015-11-21 17:20:00,0,44,False
2015-11-21 17:28:00,0,56,False
2015-11-21 17:36:00,0,64,False
2015-11-21 17:44:00,0,61,False
2015-11-21 17:52:00,0,74,False
2015-11-21 18:00:00,0,95,False
2015-11-21 18:08:00,0,94,False
2015-11-21 18:16:00,0,75,False
2015-11-21 18:24:00,0,66,False
2015-11-21 18:32:00,0,70,False
2015-11-21 18:40:00,0,76,False
2015-11-21 18:48:00,0,78,False
2015-11-21 18:56:00,0,79,False
2015-11-21 19:04:00,0,100,False
2015-11-21 19:12:00,0,96,False
2015-11-21 19:20:00,0,98,False
2015-11-21 19:28:00,0,82,False
2015-11-21 19:36:00,0,69,False
2015-11-21 19:44:00,0,62,False
2015-11-21 19:52:00,0,55,False
2015-11-21 20:00:00,0,51,False
2015-11-21 20:08:00,0,49,False
2015-11-21 20:16:00,0,48,False
2015-11-21 20:24:00,0,43,False
2015-11-21 20:32:00,0,43,False
2015-11-21 20:40:00,0,42,False
2015-11-21 20:48:00,0,41,False
2015-11-21 20:56:00,0,39,False
2015-11-29 14:00:00,0,34,False
2015-11-29 14:08:00,0,34,False
2015-11-29 14:16:00,0,34,False
2015-11-29 14:24:00,0,34,False
2015-11-29 14:32:00,0,34,False
2015-11-29 14:40:00,0,35,False
2015-11-29 14:48:00,0,37,False
2015-11-29 14:56:00,0,38,False
2015-11-29 15:04:00,0,39,False
2015-11-29 15:12:00,0,43,False
2015-11-29 15:20:00,0,44,False
2015-11-29 15:28:00,0,45,False
2015-11-29 15:36:00,0,46,False
2015-11-29 15:44:00,0,52,False
2015-11-29 15:52:00,0,61,False
2015-11-29 16:00:00,0,79,False
2015-11-29 16:08:00,0,97,False
2015-11-29 16:16:00,0,100,False
2015-11-29 16:24:00,0,85,False
2015-11-29 16:32:00,0,79,False
2015-11-29 16:40:00,0,74,False
2015-11-29 16:48:00,0,71,False
2015-11-29 16:56:00,0,66,False
2015-11-29 17:04:00,0,67,False
2015-11-29 17:12:00,0,67,False
2015-11-29 17:20:00,0,71,False
2015-11-29 17:28:00,0,71,False
2015-11-29 17:36:00,0,74,False
2015-11-29 17:44:00,0,70,False
2015-11-29 17:52:00,0,69,False
2015-11-29 18:00:00,0,72,False
2015-11-29 18:08:00,0,91,False
2015-11-29 18:16:00,0,65,False
2015-11-29 18:24:00,0,55,False
2015-11-29 18:32:00,0,51,False
2015-11-29 18:40:00,0,48,False
2015-11-29 18:48:00,0,44,False
2015-11-29 18:56:00,0,41,False
2015-11-29 19:04:00,0,39,False
2015-11-29 19:12:00,0,38,False
2015-11-29 19:20:00,0,37,False
2015-11-29 19:28:00,0,36,False
2015-11-29 19:36:00,0,36,False
2015-11-29 19:44:00,0,35,False
2015-11-29 19:52:00,0,34,False
2015-11-29 20:00:00,0,34,False
2015-12-06 14:00:00,0,37,False
2015-12-06 14:08:00,0,36,False
2015-12-06 14:16:00,0,38,False
2015-12-06 14:24:00,0,38,False
2015-12-06 14:32:00,0,40,False
2015-12-06 14:40:00,0,40,False
2015-12-06 14:48:00,0,44,False
2015-12-06 14:56:00,0,48,False
2015-12-06 15:04:00,0,49,False
2015-12-06 15:12:00,0,50,False
2015-12-06 15:20:00,0,50,False
