date,Norwich City Football Club,isPartial
2015-11-07 13:28:00,18,False
2015-11-07 13:36:00,0,False
2015-11-07 13:44:00,36,False
2015-11-07 13:52:00,36,False
2015-11-07 14:00:00,0,False
2015-11-07 14:08:00,18,False
2015-11-07 14:16:00,17,False
2015-11-07 14:24:00,0,False
2015-11-07 14:32:00,35,False
2015-11-07 14:40:00,34,False
2015-11-07 14:48:00,34,False
2015-11-07 14:56:00,51,False
2015-11-07 15:04:00,0,False
2015-11-07 15:12:00,51,False
2015-11-07 15:20:00,34,False
2015-11-07 15:28:00,34,False
2015-11-07 15:36:00,17,False
2015-11-07 15:44:00,50,False
2015-11-07 15:52:00,50,False
2015-11-07 16:00:00,17,False
2015-11-07 16:08:00,83,False
2015-11-07 16:16:00,50,False
2015-11-07 16:24:00,100,False
2015-11-07 16:32:00,84,False
2015-11-07 16:40:00,33,False
2015-11-07 16:48:00,83,False
2015-11-07 16:56:00,50,False
2015-11-07 17:04:00,34,False
2015-11-07 17:12:00,84,False
2015-11-07 17:20:00,17,False
2015-11-07 17:28:00,34,False
2015-11-07 17:36:00,34,False
2015-11-07 17:44:00,0,False
2015-11-07 17:52:00,34,False
2015-11-07 18:00:00,17,False
2015-11-07 18:08:00,17,False
2015-11-07 18:16:00,17,False
2015-11-07 18:24:00,0,False
2015-11-07 18:32:00,0,False
2015-11-07 18:40:00,0,False
2015-11-07 18:48:00,18,False
2015-11-07 18:56:00,18,False
2015-11-21 13:04:00,0,False
2015-11-21 13:12:00,0,False
2015-11-21 13:20:00,18,False
2015-11-21 13:28:00,18,False
2015-11-21 13:36:00,18,False
2015-11-21 13:44:00,36,False
2015-11-21 13:52:00,18,False
2015-11-21 14:00:00,18,False
2015-11-21 14:08:00,36,False
2015-11-21 14:16:00,35,False
2015-11-21 14:24:00,18,False
2015-11-21 14:32:00,35,False
2015-11-21 14:40:00,69,False
2015-11-21 14:48:00,17,False
2015-11-21 14:56:00,34,False
2015-11-21 15:04:00,34,False
2015-11-21 15:12:00,17,False
2015-11-21 15:20:00,68,False
2015-11-21 15:28:00,68,False
2015-11-21 15:36:00,34,False
2015-11-21 15:44:00,100,False
2015-11-21 15:52:00,33,False
2015-11-21 16:00:00,67,False
2015-11-21 16:08:00,50,False
2015-11-21 16:16:00,17,False
2015-11-21 16:24:00,33,False
2015-11-21 16:32:00,33,False
2015-11-21 16:40:00,84,False
2015-11-21 16:48:00,99,False
2015-11-21 16:56:00,49,False
2015-11-21 17:04:00,16,False
2015-11-21 17:12:00,33,False
2015-11-21 17:20:00,17,False
2015-11-21 17:28:00,17,False
2015-11-21 17:36:00,17,False
2015-11-21 17:44:00,17,False
2015-11-21 17:52:00,0,False
2015-11-21 18:00:00,0,False
2015-11-21 18:08:00,0,False
2015-11-21 18:16:00,17,False
2015-11-21 18:24:00,35,False
2015-11-21 18:32:00,18,False
2015-11-21 18:40:00,0,False
2015-11-21 18:48:00,18,False
2015-11-21 18:56:00,0,False
2015-11-29 14:00:00,0,False
2015-11-29 14:08:00,0,False
2015-11-29 14:16:00,0,False
2015-11-29 14:24:00,0,False
2015-11-29 14:32:00,13,False
2015-11-29 14:40:00,40,False
2015-11-29 14:48:00,0,False
2015-11-29 14:56:00,13,False
2015-11-29 15:04:00,26,False
2015-11-29 15:12:00,13,False
2015-11-29 15:20:00,26,False
2015-11-29 15:28:00,0,False
2015-11-29 15:36:00,26,False
2015-11-29 15:44:00,25,False
2015-11-29 15:52:00,13,False
2015-11-29 16:00:00,0,False
2015-11-29 16:08:00,38,False
2015-11-29 16:16:00,13,False
2015-11-29 16:24:00,38,False
2015-11-29 16:32:00,25,False
2015-11-29 16:40:00,50,False
2015-11-29 16:48:00,100,False
2015-11-29 16:56:00,75,False
2015-11-29 17:04:00,63,False
2015-11-29 17:12:00,63,False
2015-11-29 17:20:00,25,False
2015-11-29 17:28:00,38,False
2015-11-29 17:36:00,50,False
2015-11-29 17:44:00,63,False
2015-11-29 17:52:00,50,False
2015-11-29 18:00:00,89,False
2015-11-29 18:08:00,63,False
2015-11-29 18:16:00,64,False
2015-11-29 18:24:00,64,False
2015-11-29 18:32:00,0,False
2015-11-29 18:40:00,52,False
2015-11-29 18:48:00,26,False
2015-11-29 18:56:00,0,False
2015-11-29 19:04:00,0,False
2015-11-29 19:12:00,13,False
2015-11-29 19:20:00,26,False
2015-11-29 19:28:00,26,False
2015-11-29 19:36:00,53,False
2015-11-29 19:44:00,0,False
2015-11-29 19:52:00,0,False
2015-11-29 20:00:00,0,False
2015-12-05 13:04:00,0,False
2015-12-05 13:12:00,0,False
2015-12-05 13:20:00,0,False
2015-12-05 13:28:00,0,False
2015-12-05 13:36:00,27,False
2015-12-05 13:44:00,0,False
2015-12-05 13:52:00,0,False
