date,West Ham Football Club,isPartial
2016-02-13 13:52:00,6,False
2016-02-13 14:00:00,0,False
2016-02-13 14:08:00,0,False
2016-02-13 14:16:00,6,False
2016-02-13 14:24:00,18,False
2016-02-13 14:32:00,18,False
2016-02-13 14:40:00,6,False
2016-02-13 14:48:00,17,False
2016-02-13 14:56:00,17,False
2016-02-13 15:04:00,29,False
2016-02-13 15:12:00,11,False
2016-02-13 15:20:00,23,False
2016-02-13 15:28:00,28,False
2016-02-13 15:36:00,23,False
2016-02-13 15:44:00,28,False
2016-02-13 15:52:00,11,False
2016-02-13 16:00:00,17,False
2016-02-13 16:08:00,56,False
2016-02-13 16:16:00,33,False
2016-02-13 16:24:00,56,False
2016-02-13 16:32:00,62,False
2016-02-13 16:40:00,62,False
2016-02-13 16:48:00,100,False
2016-02-13 16:56:00,44,False
2016-02-13 17:04:00,11,False
2016-02-13 17:12:00,11,False
2016-02-13 17:20:00,28,False
2016-02-13 17:28:00,34,False
2016-02-13 17:36:00,28,False
2016-02-13 17:44:00,17,False
2016-02-13 17:52:00,17,False
2016-02-13 18:00:00,17,False
2016-02-13 18:08:00,18,False
2016-02-13 18:16:00,12,False
2016-02-13 18:24:00,29,False
2016-02-13 18:32:00,18,False
2016-02-13 18:40:00,6,False
2016-02-13 18:48:00,0,False
2016-02-13 18:56:00,12,False
2016-02-27 10:00:00,0,False
2016-02-27 10:08:00,9,False
2016-02-27 10:16:00,9,False
2016-02-27 10:24:00,9,False
2016-02-27 10:32:00,0,False
2016-02-27 10:40:00,9,False
2016-02-27 10:48:00,18,False
2016-02-27 10:56:00,18,False
2016-02-27 11:04:00,0,False
2016-02-27 11:12:00,9,False
2016-02-27 11:20:00,17,False
2016-02-27 11:28:00,0,False
2016-02-27 11:36:00,17,False
2016-02-27 11:44:00,17,False
2016-02-27 11:52:00,16,False
2016-02-27 12:00:00,8,False
2016-02-27 12:08:00,32,False
2016-02-27 12:16:00,48,False
2016-02-27 12:24:00,16,False
2016-02-27 12:32:00,23,False
2016-02-27 12:40:00,31,False
2016-02-27 12:48:00,53,False
2016-02-27 12:56:00,15,False
2016-02-27 13:04:00,37,False
2016-02-27 13:12:00,29,False
2016-02-27 13:20:00,36,False
2016-02-27 13:28:00,63,False
2016-02-27 13:36:00,77,False
2016-02-27 13:44:00,97,False
2016-02-27 13:52:00,21,False
2016-02-27 14:00:00,61,False
2016-02-27 14:08:00,61,False
2016-02-27 14:16:00,20,False
2016-02-27 14:24:00,100,False
2016-02-27 14:32:00,46,False
2016-02-27 14:40:00,59,False
2016-02-27 14:48:00,39,False
2016-02-27 14:56:00,26,False
2016-02-27 15:04:00,45,False
2016-02-27 15:12:00,19,False
2016-02-27 15:20:00,13,False
2016-02-27 15:28:00,13,False
2016-02-27 15:36:00,26,False
2016-02-27 15:44:00,19,False
2016-02-27 15:52:00,32,False
2016-02-27 16:00:00,25,False
2016-03-02 17:04:00,12,False
2016-03-02 17:12:00,6,False
2016-03-02 17:20:00,12,False
2016-03-02 17:28:00,0,False
2016-03-02 17:36:00,6,False
2016-03-02 17:44:00,12,False
2016-03-02 17:52:00,19,False
2016-03-02 18:00:00,6,False
2016-03-02 18:08:00,6,False
2016-03-02 18:16:00,19,False
2016-03-02 18:24:00,6,False
2016-03-02 18:32:00,13,False
2016-03-02 18:40:00,6,False
2016-03-02 18:48:00,13,False
2016-03-02 18:56:00,13,False
2016-03-02 19:04:00,19,False
2016-03-02 19:12:00,13,False
2016-03-02 19:20:00,26,False
2016-03-02 19:28:00,19,False
2016-03-02 19:36:00,39,False
2016-03-02 19:44:00,19,False
2016-03-02 19:52:00,58,False
2016-03-02 20:00:00,99,False
2016-03-02 20:08:00,53,False
2016-03-02 20:16:00,54,False
2016-03-02 20:24:00,54,False
2016-03-02 20:32:00,54,False
2016-03-02 20:40:00,54,False
2016-03-02 20:48:00,54,False
2016-03-02 20:56:00,49,False
2016-03-02 21:04:00,57,False
2016-03-02 21:12:00,57,False
2016-03-02 21:20:00,29,False
2016-03-02 21:28:00,67,False
2016-03-02 21:36:00,67,False
2016-03-02 21:44:00,83,False
2016-03-02 21:52:00,100,False
2016-03-02 22:00:00,39,False
2016-03-02 22:08:00,24,False
2016-03-02 22:16:00,49,False
2016-03-02 22:24:00,25,False
2016-03-02 22:32:00,26,False
2016-03-02 22:40:00,52,False
2016-03-02 22:48:00,45,False
2016-03-02 22:56:00,9,False
2016-03-05 13:04:00,16,False
2016-03-05 13:12:00,8,False
2016-03-05 13:20:00,8,False
2016-03-05 13:28:00,8,False
2016-03-05 13:36:00,0,False
2016-03-05 13:44:00,0,False
2016-03-05 13:52:00,15,False
2016-03-05 14:00:00,23,False
2016-03-05 14:08:00,23,False
2016-03-05 14:16:00,45,False
2016-03-05 14:24:00,7,False
2016-03-05 14:32:00,22,False
2016-03-05 14:40:00,15,False
2016-03-05 14:48:00,29,False
2016-03-05 14:56:00,15,False
2016-03-05 15:04:00,51,False
2016-03-05 15:12:00,15,False
2016-03-05 15:20:00,44,False
2016-03-05 15:28:00,43,False
2016-03-05 15:36:00,0,False
2016-03-05 15:44:00,36,False
2016-03-05 15:52:00,29,False
2016-03-05 16:00:00,58,False
2016-03-05 16:08:00,22,False
2016-03-05 16:16:00,43,False
2016-03-05 16:24:00,43,False
2016-03-05 16:32:00,14,False
2016-03-05 16:40:00,72,False
2016-03-05 16:48:00,57,False
2016-03-05 16:56:00,100,False
2016-03-05 17:04:00,65,False
2016-03-05 17:12:00,65,False
2016-03-05 17:20:00,51,False
2016-03-05 17:28:00,66,False
2016-03-05 17:36:00,59,False
2016-03-05 17:44:00,22,False
2016-03-05 17:52:00,22,False
2016-03-05 18:00:00,15,False
2016-03-05 18:08:00,8,False
2016-03-05 18:16:00,60,False
2016-03-05 18:24:00,0,False
2016-03-05 18:32:00,23,False
2016-03-05 18:40:00,39,False
2016-03-05 18:48:00,39,False
2016-03-05 18:56:00,8,False
2016-03-19 13:04:00,7,False
2016-03-19 13:12:00,7,False
