date,Newcastle United Football Club,Newcastle,isPartial
2016-01-16 13:36:00,0,50,False
2016-01-16 13:44:00,0,49,False
2016-01-16 13:52:00,0,47,False
2016-01-16 14:00:00,0,60,False
2016-01-16 14:08:00,0,49,False
2016-01-16 14:16:00,0,50,False
2016-01-16 14:24:00,0,51,False
2016-01-16 14:32:00,0,55,False
2016-01-16 14:40:00,0,64,False
2016-01-16 14:48:00,0,71,False
2016-01-16 14:56:00,0,83,False
2016-01-16 15:04:00,0,91,False
2016-01-16 15:12:00,0,98,False
2016-01-16 15:20:00,0,95,False
2016-01-16 15:28:00,0,88,False
2016-01-16 15:36:00,0,83,False
2016-01-16 15:44:00,0,83,False
2016-01-16 15:52:00,0,82,False
2016-01-16 16:00:00,0,82,False
2016-01-16 16:08:00,0,85,False
2016-01-16 16:16:00,0,89,False
2016-01-16 16:24:00,0,83,False
2016-01-16 16:32:00,0,84,False
2016-01-16 16:40:00,0,85,False
2016-01-16 16:48:00,0,84,False
2016-01-16 16:56:00,0,100,False
2016-01-16 17:04:00,0,78,False
2016-01-16 17:12:00,0,74,False
2016-01-16 17:20:00,0,66,False
2016-01-16 17:28:00,0,64,False
2016-01-16 17:36:00,0,61,False
2016-01-16 17:44:00,0,58,False
2016-01-16 17:52:00,0,53,False
2016-01-16 18:00:00,0,56,False
2016-01-16 18:08:00,0,55,False
2016-01-16 18:16:00,0,54,False
2016-01-16 18:24:00,0,51,False
2016-01-16 18:32:00,0,49,False
2016-01-16 18:40:00,0,48,False
2016-01-16 18:48:00,0,48,False
2016-01-16 18:56:00,0,49,False
2016-01-16 19:04:00,0,48,False
2016-01-16 19:12:00,0,50,False
2016-01-16 19:20:00,0,51,False
2016-01-16 19:28:00,0,52,False
2016-01-16 19:36:00,0,48,False
2016-01-16 19:44:00,0,50,False
2016-01-16 19:52:00,0,50,False
2016-01-16 20:00:00,0,52,False
2016-01-16 20:08:00,0,49,False
2016-01-16 20:16:00,0,53,False
2016-01-16 20:24:00,0,49,False
2016-01-16 20:32:00,0,49,False
2016-01-16 20:40:00,0,54,False
2016-01-16 20:48:00,0,48,False
2016-01-16 20:56:00,0,50,False
2016-01-16 21:04:00,0,53,False
2016-01-16 21:12:00,0,51,False
2016-01-16 21:20:00,0,56,False
2016-01-16 21:28:00,0,51,False
2016-01-16 21:36:00,0,51,False
2016-01-16 21:44:00,0,54,False
2016-01-16 21:52:00,0,52,False
2016-01-16 22:00:00,0,58,False
2016-01-16 22:08:00,0,63,False
2016-01-16 22:16:00,0,60,False
2016-01-16 22:24:00,0,56,False
2016-01-16 22:32:00,0,55,False
2016-01-16 22:40:00,0,55,False
2016-01-16 22:48:00,0,55,False
2016-01-16 22:56:00,0,58,False
2016-01-23 01:04:00,0,53,False
2016-01-23 01:12:00,0,51,False
2016-01-23 01:20:00,0,53,False
2016-01-23 01:28:00,0,54,False
2016-01-23 01:36:00,0,51,False
2016-01-23 01:44:00,0,54,False
2016-01-23 01:52:00,0,51,False
2016-01-23 02:00:00,0,50,False
2016-01-23 02:08:00,0,53,False
2016-01-23 02:16:00,0,51,False
2016-01-23 02:24:00,0,51,False
2016-01-23 02:32:00,0,49,False
2016-01-23 02:40:00,0,48,False
2016-01-23 02:48:00,0,49,False
2016-01-23 02:56:00,0,50,False
2016-01-23 03:04:00,0,51,False
2016-01-23 03:12:00,0,48,False
2016-01-23 03:20:00,0,51,False
2016-01-23 03:28:00,0,51,False
2016-01-23 03:36:00,0,50,False
2016-01-23 03:44:00,0,45,False
2016-01-23 03:52:00,0,43,False
2016-01-23 04:00:00,0,48,False
2016-01-23 04:08:00,0,45,False
2016-01-23 04:16:00,0,47,False
2016-01-23 04:24:00,0,49,False
2016-01-23 04:32:00,0,46,False
2016-01-23 04:40:00,0,49,False
2016-01-23 04:48:00,0,44,False
2016-01-23 04:56:00,0,42,False
2016-01-23 05:04:00,0,43,False
2016-01-23 05:12:00,0,45,False
2016-01-23 05:20:00,0,46,False
2016-01-23 05:28:00,0,44,False
2016-01-23 05:36:00,0,45,False
2016-01-23 05:44:00,0,47,False
2016-01-23 05:52:00,0,44,False
2016-01-23 06:00:00,0,43,False
2016-01-23 06:08:00,0,48,False
2016-01-23 06:16:00,0,45,False
2016-01-23 06:24:00,0,50,False
2016-01-23 06:32:00,0,47,False
2016-01-23 06:40:00,0,51,False
2016-01-23 06:48:00,0,51,False
2016-01-23 06:56:00,0,55,False
2016-01-23 07:04:00,0,49,False
2016-01-23 07:12:00,0,50,False
2016-01-23 07:20:00,0,57,False
2016-01-23 07:28:00,0,55,False
2016-01-23 07:36:00,0,53,False
2016-01-23 07:44:00,0,60,False
2016-01-23 07:52:00,0,59,False
2016-01-23 08:00:00,0,60,False
2016-01-23 08:08:00,0,61,False
2016-01-23 08:16:00,0,63,False
2016-01-23 08:24:00,0,67,False
2016-01-23 08:32:00,0,64,False
2016-01-23 08:40:00,0,67,False
2016-01-23 08:48:00,0,68,False
2016-01-23 08:56:00,0,74,False
2016-01-23 09:04:00,0,72,False
2016-01-23 09:12:00,0,73,False
2016-01-23 09:20:00,0,71,False
2016-01-23 09:28:00,0,79,False
2016-01-23 09:36:00,0,75,False
2016-01-23 09:44:00,0,77,False
2016-01-23 09:52:00,0,84,False
2016-01-23 10:00:00,0,81,False
2016-01-23 10:08:00,0,78,False
2016-01-23 10:16:00,0,81,False
2016-01-23 10:24:00,0,83,False
2016-01-23 10:32:00,0,83,False
2016-01-23 10:40:00,0,76,False
2016-01-23 10:48:00,0,77,False
2016-01-23 10:56:00,0,79,False
2016-01-23 11:04:00,0,75,False
2016-01-23 11:12:00,0,79,False
2016-01-23 11:20:00,0,78,False
2016-01-23 11:28:00,0,81,False
2016-01-23 11:36:00,0,72,False
2016-01-23 11:44:00,0,75,False
2016-01-23 11:52:00,0,74,False
2016-01-23 12:00:00,0,74,False
2016-01-23 12:08:00,0,72,False
2016-01-23 12:16:00,0,76,False
2016-01-23 12:24:00,0,73,False
2016-01-23 12:32:00,0,74,False
2016-01-23 12:40:00,0,68,False
2016-01-23 12:48:00,0,64,False
2016-01-23 12:56:00,0,69,False
2016-01-23 13:04:00,0,63,False
2016-01-23 13:12:00,0,67,False
2016-01-23 13:20:00,0,70,False
2016-01-23 13:28:00,0,64,False
2016-01-23 13:36:00,0,65,False
2016-01-23 13:44:00,0,62,False
2016-01-23 13:52:00,0,63,False
2016-01-23 14:00:00,0,69,False
2016-01-23 14:08:00,0,61,False
2016-01-23 14:16:00,0,66,False
2016-01-23 14:24:00,0,70,False
2016-01-23 14:32:00,0,63,False
2016-01-23 14:40:00,0,79,False
2016-01-23 14:48:00,0,84,False
2016-01-23 14:56:00,0,100,False
2016-01-23 15:04:00,0,98,False
2016-01-23 15:12:00,0,86,False
2016-01-23 15:20:00,0,86,False
2016-01-23 15:28:00,0,86,False
2016-01-23 15:36:00,0,82,False
2016-01-23 15:44:00,0,87,False
2016-01-23 15:52:00,0,84,False
2016-01-23 16:00:00,0,89,False
2016-01-23 16:08:00,0,93,False
2016-01-23 16:16:00,0,86,False
2016-01-23 16:24:00,0,93,False
2016-01-23 16:32:00,0,91,False
2016-01-23 16:40:00,0,84,False
2016-01-23 16:48:00,0,96,False
2016-01-23 16:56:00,0,90,False
2016-01-23 17:04:00,0,79,False
2016-01-23 17:12:00,0,71,False
2016-01-23 17:20:00,0,72,False
2016-01-23 17:28:00,0,70,False
2016-01-23 17:36:00,0,65,False
2016-01-23 17:44:00,0,65,False
2016-01-23 17:52:00,0,66,False
2016-01-23 18:00:00,0,67,False
2016-01-23 18:08:00,0,65,False
2016-01-23 18:16:00,0,66,False
2016-01-23 18:24:00,0,61,False
2016-01-23 18:32:00,0,64,False
2016-01-23 18:40:00,0,63,False
2016-01-23 18:48:00,0,64,False
2016-01-23 18:56:00,0,59,False
2016-01-23 19:04:00,0,64,False
2016-01-23 19:12:00,0,60,False
2016-01-23 19:20:00,0,68,False
2016-01-23 19:28:00,0,62,False
2016-01-23 19:36:00,0,68,False
2016-01-23 19:44:00,0,62,False
2016-01-23 19:52:00,0,60,False
2016-01-23 20:00:00,0,60,False
2016-01-23 20:08:00,0,62,False
2016-01-23 20:16:00,0,66,False
2016-01-23 20:24:00,0,67,False
